9.98031,0.628884
9.98011,0.63204
9.97991,0.635196
9.97971,0.638352
9.9795,0.641508
9.9793,0.644664
9.9791,0.64782
9.97889,0.650975
9.97869,0.654131
9.97848,0.657286
9.97827,0.660442
9.97806,0.663597
9.97785,0.666753
9.97764,0.669908
9.97743,0.673063
9.97722,0.676218
9.977,0.679373
9.97679,0.682528
9.97657,0.685683
9.97636,0.688838
9.97614,0.691993
9.97592,0.695148
9.9757,0.698302
9.97548,0.701457
9.97526,0.704611
9.97503,0.707766
9.97481,0.71092
9.97459,0.714075
9.97436,0.717229
9.97413,0.720383
9.97391,0.723537
9.97368,0.726691
9.97345,0.729845
9.97322,0.732999
9.97298,0.736153
9.97275,0.739306
9.97252,0.74246
9.97228,0.745614
9.97205,0.748767
9.97181,0.751921
9.97157,0.755074
9.97133,0.758227
9.97109,0.761381
9.97085,0.764534
9.97061,0.767687
9.97037,0.77084
9.97013,0.773993
9.96988,0.777145
9.96963,0.780298
9.96939,0.783451
9.96914,0.786604
9.96889,0.789756
9.96864,0.792908
9.96839,0.796061
9.96814,0.799213
9.96789,0.802365
9.96763,0.805517
9.96738,0.808669
9.96712,0.811821
9.96687,0.814973
9.96661,0.818125
9.96635,0.821277
9.96609,0.824428
9.96583,0.82758
9.96557,0.830731
9.9653,0.833883
9.96504,0.837034
9.96478,0.840185
9.96451,0.843337
9.96424,0.846488
9.96398,0.849639
9.96371,0.852789
9.96344,0.85594
9.96317,0.859091
9.9629,0.862242
9.96262,0.865392
9.96235,0.868543
9.96207,0.871693
9.9618,0.874843
9.96152,0.877993
9.96124,0.881144
9.96097,0.884294
9.96069,0.887444
9.96041,0.890593
9.96012,0.893743
9.95984,0.896893
9.95956,0.900042
9.95927,0.903192
9.95899,0.906341
9.9587,0.909491
9.95841,0.91264
9.95812,0.915789
9.95783,0.918938
9.95754,0.922087
9.95725,0.925236
9.95696,0.928385
9.95667,0.931533
9.95637,0.934682
9.95608,0.93783
9.95578,0.940979
9.95548,0.944127
9.95518,0.947275
9.95488,0.950423
9.95458,0.953571
9.95428,0.956719
9.95398,0.959867
9.95368,0.963015
9.95337,0.966162
9.95307,0.96931
9.95276,0.972457
9.95245,0.975605
9.95214,0.978752
9.95183,0.981899
9.95152,0.985046
9.95121,0.988193
9.9509,0.99134
9.95059,0.994487
9.95027,0.997633
9.94996,1.00078
9.94964,1.00393
9.94932,1.00707
9.949,1.01022
9.94868,1.01337
9.94836,1.01651
9.94804,1.01966
9.94772,1.0228
9.9474,1.02595
9.94707,1.02909
9.94675,1.03224
9.94642,1.03539
9.94609,1.03853
9.94576,1.04168
9.94543,1.04482
9.9451,1.04797
9.94477,1.05111
9.94444,1.05426
9.94411,1.0574
9.94377,1.06055
9.94344,1.06369
9.9431,1.06683
9.94276,1.06998
9.94243,1.07312
9.94209,1.07627
9.94175,1.07941
9.9414,1.08255
9.94106,1.0857
9.94072,1.08884
9.94037,1.09199
9.94003,1.09513
9.93968,1.09827
9.93934,1.10142
9.93899,1.10456
9.93864,1.1077
9.93829,1.11084
9.93794,1.11399
9.93758,1.11713
9.93723,1.12027
9.93688,1.12341
9.93652,1.12656
9.93617,1.1297
9.93581,1.13284
9.93545,1.13598
